20231220212339|0000012000101|INFO ||2023-12-20 21:23:39.598 main LowCodeBackendApplication 55 - Starting LowCodeBackendApplication on DESKTOP-1CKAT7S with PID 324992 (D:\私有项目\low-code-system\backend\low-code-backend\target\classes started by 赵刚 in D:\私有项目\low-code-system\backend\low-code-backend)
20231220212339|0000012000101|INFO ||2023-12-20 21:23:39.603 main LowCodeBackendApplication 655 - The following profiles are active: local
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.255 main RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.258 main RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.272 main RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 5ms. Found 0 Redis repository interfaces.
20231220212340|0000012000101|WARN ||2023-12-20 21:23:40.374 main ClassPathMapperScanner 44 - No MyBatis mapper was found in '[com.zg.lowcode]' package. Please check your configuration.
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.746 main TomcatWebServer 108 - Tomcat initialized with port(s): 8010 (http)
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.754 main Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8010"]
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.754 main StandardService 173 - Starting service [Tomcat]
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.754 main StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.43]
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.823 main [/] 173 - Initializing Spring embedded WebApplicationContext
20231220212340|0000012000101|INFO ||2023-12-20 21:23:40.825 main ServletWebServerApplicationContext 285 - Root WebApplicationContext: initialization completed in 1192 ms
20231220212341|0000012000101|INFO ||2023-12-20 21:23:41.219 main PropertySourcedRequestMappingHandlerMapping 69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
20231220212341|0000012000101|INFO ||2023-12-20 21:23:41.339 main ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
20231220212341|0000012000101|INFO ||2023-12-20 21:23:41.429 main WelcomePageHandlerMapping 53 - Adding welcome page: class path resource [static/index.html]
20231220212341|0000012000101|INFO ||2023-12-20 21:23:41.896 main UserDetailsServiceAutoConfiguration 86 - 

Using generated security password: 02ddb231-58f7-4405-a9a5-e5fc65bf203e

